id,name,code,Popsize_Mean,Popsize_Lower95,Popsize_Upper95
1,Adams Farmland,WI-1306,6443,5569,7434
2,Adams Forest,WI-1371,15827,13060,18955
3,Ashland Forest,WI-1383,11081,9143,13527
4,Barron Farmland,WI-1283,18378,15466,21671
5,Bayfield Forest,WI-1377,24325,19329,30885
6,Brown Farmland,WI-1288,10623,8995,12413
7,Buffalo Farmland,WI-1289,21059,17832,24691
8,Burnett Forest,WI-1351,19687,16159,23805
9,Calumet Farmland,WI-1304,4591,3884,5364
10,Chippewa Farmland,WI-1382,15420,13020,18089
11,Chippewa Forest,WI-1368,6761,5655,7985
12,Clark Farmland,WI-1297,21937,18480,25735
13,Clark Forest,WI-1369,11064,9176,13159
14,Columbia Farmland,WI-1293,29867,26032,34171
15,Crawford Farmland,WI-1317,16680,14129,19591
16,Dane Farmland,WI-1318,20686,18049,23602
17,Dodge Farmland,WI-1314,16724,14402,19269
18,Door Farmland,WI-1284,15257,12314,18781
19,Douglas Forest,WI-1350,25478,20386,31967
20,Dunn Farmland,WI-1295,23815,20326,27659
21,Eau Claire Farmland,WI-1348,10947,9372,12655
22,Eau Claire Forest,WI-1381,4517,3754,5362
23,Florence Forest,WI-1355,12433,10123,15372
24,Fond du Lac Farmland,WI-1311,14815,12638,17203
25,Forest Forest,WI-1354,11968,10085,14277
26,Grant Farmland,WI-1319,27805,23437,32721
27,Green Farmland,WI-1324,10374,8737,12194
28,Green Lake Farmland,WI-1309,13204,11328,15306
29,Iowa Farmland,WI-1320,22486,19562,25759
30,Iron Forest,WI-1378,5536,4524,6843
31,Jackson Farmland,WI-1291,16583,14257,19144
32,Jackson Forest,WI-1362,8923,7441,10581
33,Jefferson Farmland,WI-1322,11024,9428,12791
34,Juneau Farmland,WI-1292,11815,10224,13622
35,Juneau Forest,WI-1363,8748,7316,10364
36,Kenosha Farmland,WI-1327,1543,1171,1999
37,Kewaunee Farmland,WI-1287,10353,8550,12385
38,La Crosse Farmland,WI-1349,14987,12841,17406
39,Lafayette Farmland,WI-1326,10191,8511,12097
40,Langlade Forest,WI-1366,17489,14764,20602
41,Lincoln Forest,WI-1365,16907,14352,19760
42,Madeline Island Forest,WI-1384,428,351,526
43,Manitowoc Farmland,WI-1347,13288,10994,15798
44,Marathon Farmland,WI-1296,42895,36556,49996
45,Marinette Farmland,WI-1281,24824,20780,29536
46,Marinette Forest,WI-1358,22776,19016,27294
47,Marquette Farmland,WI-1310,23383,20224,26947
48,Milwaukee Farmland,WI-1334,978,795,1190
49,Monroe Farmland,WI-1308,25274,21819,29173
50,Monroe Forest,WI-1372,3138,2603,3737
51,Oconto Farmland,WI-1285,25859,22016,30223
52,Oconto Forest,WI-1360,7045,5968,8280
53,Oneida Forest,WI-1357,19111,16152,22635
54,Outagamie Farmland,WI-1303,14056,11975,16323
55,Ozaukee Farmland,WI-1332,4132,3408,4942
56,Pepin Farmland,WI-1299,7820,6608,9172
57,Pierce Farmland,WI-1286,13799,11406,16519
58,Polk Farmland,WI-1282,24727,20623,29346
59,Portage Farmland,WI-1300,24036,20626,27843
60,Price Forest,WI-1356,22795,19305,26837
61,Racine Farmland,WI-1323,2535,2017,3147
62,Richland Farmland,WI-1316,27053,23535,31018
63,Rock Farmland,WI-1345,8788,7328,10407
64,Rusk Forest,WI-1359,22903,19280,26961
65,Sauk Farmland,WI-1313,30207,26275,34646
66,Sawyer Forest,WI-1353,17660,14932,20827
67,Shawano Farmland,WI-1298,37609,32082,43855
68,Sheboygan Farmland,WI-1346,9907,8202,11781
69,St. Croix Farmland,WI-1294,13152,11000,15558
70,Taylor Forest,WI-1367,25588,21445,30140
71,Trempealeau Farmland,WI-1290,23214,19895,26927
72,Vernon Farmland,WI-1312,30127,25925,34906
73,Vilas Forest,WI-1379,15513,12783,19006
74,Walworth Farmland,WI-1325,5909,4831,7154
75,Washburn Forest,WI-1352,17069,14343,20173
76,Washington Farmland,WI-1315,9303,7792,10972
77,Waukesha Farmland,WI-1321,10782,9071,12707
78,Waupaca Farmland,WI-1301,35197,30221,40702
79,Waushara Farmland,WI-1307,22213,19177,25597
80,Winnebago Farmland,WI-1305,7786,6685,9003
81,Wood Farmland,WI-1302,12881,10945,15001
82,Wood Forest,WI-1370,6988,5815,8292
